Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Zoran Tosic,Right Winger,23,Man Utd,Premier League,CSKA Moscow,Premier Liga,2010-2011,5500000,9500000
Zvjezdan Misimovic,Attacking Midfield,28,VfL Wolfsburg,1.Bundesliga,Galatasaray,Super Lig,2010-2011,14500000,8500000
Zvjezdan Misimovic,Attacking Midfield,28,Galatasaray,Super Lig,Dinamo Moscow,Premier Liga,2010-2011,9000000,4500000
Abdoulay Konko,Right-Back,27,Genoa,Serie A,Lazio,Serie A,2011-2012,5000000,4000000
Achille Emana,Attacking Midfield,29,Real Betis,La Liga,Hilal,Saudi Professional League,2011-2012,7000000,4500000
Adil Rami,Centre-Back,25,LOSC Lille,Ligue 1,Valencia CF,La Liga,2011-2012,12000000,6000000
Adrian Mierzejewski,Attacking Midfield,24,Pol. Warsaw,Ekstraklasa,Trabzonspor,Super Lig,2011-2012,3000000,5250000
Ahmed Musa,Centre-Forward,19,VVV-Venlo,Eredivisie,CSKA Moscow,Russian Premier League,2011-2012,5000000,5000000
Alan Hutton,Right-Back,26,Spurs,Premier League,Aston Villa,Premier League,2011-2012,7500000,4500000
Alan Patrick,Central Midfield,20,Santos FC,Campeonato Brasileiro Serie A,Shakhtar D.,Premier Liga,2011-2012,1500000,4000000
Alberto Gilardino,Centre-Forward,29,Fiorentina,Serie A,Genoa,Serie A,2011-2012,16000000,8000000
Alessandro Diamanti,Second Striker,28,Brescia,Serie B,Bologna,Serie A,2011-2012,4000000,4860000
Alessandro Matri,Centre-Forward,26,Cagliari Calcio,Serie A,Juventus,Serie A,2011-2012,16500000,15500000
Alex,Centre-Back,29,Chelsea,Premier League,Paris SG,Ligue 1,2011-2012,13000000,5000000
Alex Oxlade-Chamberlain,Right Midfield,17,Southampton,English Championship,Arsenal,Premier League,2011-2012,2500000,13800000
Alex Sandro,Left-Back,20,Maldonado,Uruguayan Segunda Division,FC Porto,Liga NOS,2011-2012,1800000,9600000
Alexander Gerndt,Centre-Forward,25,Helsingborg,Allsvenskan,FC Utrecht,Eredivisie,2011-2012,4000000,4800000
Alexander Merkel,Central Midfield,19,AC Milan,Serie A,Genoa,Serie A,2011-2012,3500000,6500000
Alexis Sanchez,Left Winger,22,Udinese Calcio,Serie A,FC Barcelona,La Liga,2011-2012,25000000,26000000
Ali Al-Habsi,Goalkeeper,29,Bolton,Premier League,Wigan,Premier League,2011-2012,2000000,4300000
Alou Diarra,Defensive Midfield,29,G. Bordeaux,Ligue 1,Marseille,Ligue 1,2011-2012,12000000,5000000
Ander Herrera,Central Midfield,21,Real Zaragoza,La Liga,Athletic Bilbao,La Liga,2011-2012,7500000,7500000
Andre Santos,Attacking Midfield,28,Fenerbahce,Super Lig,Arsenal,Premier League,2011-2012,8500000,7000000
Andre Schurrle,Left Winger,20,1.FSV Mainz 05,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2011-2012,12500000,8500000
Andrea Lazzari,Central Midfield,26,Cagliari Calcio,Serie A,Fiorentina,Serie A,2011-2012,5500000,4500000
Arda Turan,Left Winger,24,Galatasaray,Super Lig,Atletico Madrid,La Liga,2011-2012,15500000,13000000
Arturo Vidal,Central Midfield,24,Bay. Leverkusen,1.Bundesliga,Juventus,Serie A,2011-2012,20000000,12500000
Ashley Young,Left Midfield,25,Aston Villa,Premier League,Man Utd,Premier League,2011-2012,18000000,18000000
Axel Witsel,Central Midfield,22,Standard Liege,Jupiler Pro League,Benfica,Liga NOS,2011-2012,10000000,9000000
Balazs Dzsudzsak,Left Winger,25,Anzhi,Russian Premier League,Dinamo Moscow,Russian Premier League,2011-2012,14000000,19000000
Balazs Dzsudzsak,Left Winger,24,PSV Eindhoven,Eredivisie,Anzhi,Premier Liga,2011-2012,14000000,14000000
Barreto,Second Striker,25,Bari,Serie B,Udinese Calcio,Serie A,2011-2012,7000000,3500000
Bernd Leno,Goalkeeper,19,VfB Stuttgart,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2011-2012,5000000,10000000
Blaise Matuidi,Central Midfield,24,Saint-Etienne,Ligue 1,Paris SG,Ligue 1,2011-2012,8000000,8000000
Blerim Dzemaili,Central Midfield,25,Parma,Serie A,SSC Napoli,Serie A,2011-2012,5000000,9000000
Bobby Zamora,Centre-Forward,31,Fulham,Premier League,QPR,Premier League,2011-2012,8000000,5800000
Bojan Krkic,Second Striker,20,FC Barcelona,La Liga,AS Roma,Serie A,2011-2012,15000000,12000000
Borja Valero,Central Midfield,26,West Brom,Premier League,Villarreal CF,La Liga,2011-2012,12000000,6000000
Brown Ideye,Centre-Forward,22,FC Sochaux,Ligue 1,Dynamo Kyiv,Premier Liga,2011-2012,6000000,9000000
Bruno Cesar,Left Midfield,22,Corinthians,Campeonato Brasileiro Serie A,Benfica,Liga NOS,2011-2012,6000000,5500000
Bryan Ruiz,Left Midfield,26,FC Twente,Eredivisie,Fulham,Premier League,2011-2012,12500000,12000000
Cameron Jerome,Centre-Forward,25,Birmingham,English Championship,Stoke City,Premier League,2011-2012,4500000,4500000
Cesc Fabregas,Central Midfield,24,Arsenal,Premier League,FC Barcelona,La Liga,2011-2012,54000000,34000000
Charles N'Zogbia,Right Winger,25,Wigan,Premier League,Aston Villa,Premier League,2011-2012,9000000,10800000
Charlie Adam,Central Midfield,25,Blackpool,English Championship,Liverpool,Premier League,2011-2012,4500000,8400000
Christian Benitez,Centre-Forward,25,Santos Laguna,Liga MX,America,Liga MX,2011-2012,6500000,8000000
Christian Fuchs,Left-Back,25,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2011-2012,5000000,3800000
Christian Noboa,Central Midfield,26,Rubin Kazan,Russian Premier League,Dinamo Moscow,Russian Premier League,2011-2012,8000000,8000000
Christian Träsch,Defensive Midfield,23,VfB Stuttgart,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2011-2012,10000000,9000000
Christopher Samba,Centre-Back,27,Blackburn,Premier League,Anzhi,Russian Premier League,2011-2012,12000000,14000000
Connor Wickham,Centre-Forward,18,Ipswich,English Championship,Sunderland,Premier League,2011-2012,4000000,9000000
Craig Gardner,Central Midfield,24,Birmingham,English Championship,Sunderland,Premier League,2011-2012,4000000,6600000
Cristian Zapata,Centre-Back,24,Udinese Calcio,Serie A,Villarreal CF,La Liga,2011-2012,9000000,9000000
Dani Parejo,Central Midfield,22,Getafe CF,La Liga,Valencia CF,La Liga,2011-2012,8000000,6000000
Daniel Osvaldo,Centre-Forward,25,Espanyol,La Liga,AS Roma,Serie A,2011-2012,10000000,16000000
Danilo,Right-Back,19,Santos FC,Campeonato Brasileiro Serie A,FC Porto,Liga NOS,2011-2012,5000000,13000000
Danny Graham,Centre-Forward,25,Watford,English Championship,Swansea,Premier League,2011-2012,1500000,3900000
Dario Conca,Attacking Midfield,28,Fluminense,Campeonato Brasileiro Serie A,GZ Evergrande,Chinese Super League,2011-2012,6000000,8200000
David de Gea,Goalkeeper,20,Atletico Madrid,La Liga,Man Utd,Premier League,2011-2012,12000000,25000000
David N'Gog,Centre-Forward,22,Liverpool,Premier League,Bolton,Premier League,2011-2012,5000000,4500000
Davide Santon,Left-Back,20,Inter,Serie A,Newcastle,Premier League,2011-2012,7500000,5650000
Demy de Zeeuw,Central Midfield,28,AFC Ajax,Eredivisie,Spartak Moscow,Premier Liga,2011-2012,6500000,6000000
Dentinho,Attacking Midfield,22,Corinthians,Campeonato Brasileiro Serie A,Shakhtar D.,Premier Liga,2011-2012,3000000,7500000
Derek Boateng,Defensive Midfield,28,Getafe CF,La Liga,Dnipro,Premier Liga,2011-2012,2500000,4880000
Didier Zokora,Defensive Midfield,30,Sevilla FC,La Liga,Trabzonspor,Super Lig,2011-2012,10000000,5000000
Diego Buonanotte,Attacking Midfield,23,River Plate,Primera B Nacional,Malaga CF,La Liga,2011-2012,2700000,4500000
Diego Capel,Left Winger,23,Sevilla FC,La Liga,Sporting CP,Liga NOS,2011-2012,8000000,3500000
Diego Forlan,Second Striker,32,Atletico Madrid,La Liga,Inter,Serie A,2011-2012,10000000,5000000
Diego Tardelli,Centre-Forward,26,Anzhi,Russian Premier League,Al Gharafa,Qatar Stars League,2011-2012,2500000,7000000
Dimitri Payet,Attacking Midfield,24,Saint-Etienne,Ligue 1,LOSC Lille,Ligue 1,2011-2012,9000000,9000000
Diniyar Bilyaletdinov,Attacking Midfield,26,Everton,Premier League,Spartak Moscow,Russian Premier League,2011-2012,6500000,6700000
Djibril Cisse,Centre-Forward,30,Lazio,Serie A,QPR,Premier League,2011-2012,6000000,5000000
Djibril Cisse,Centre-Forward,29,Panathinaikos,Super League Souroti,Lazio,Serie A,2011-2012,14000000,5800000
Domenico Criscito,Left-Back,24,Genoa,Serie A,Zenit S-Pb,Premier Liga,2011-2012,12500000,15000000
Dries Mertens,Centre-Forward,24,FC Utrecht,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,6000000,8500000
Dudu,Right Midfield,19,Cruzeiro,Campeonato Brasileiro Serie A,Dynamo Kyiv,Premier Liga,2011-2012,750000,5000000
Eder,Second Striker,24,Brescia,Serie B,RC Cesena,Serie A,2011-2012,4200000,5000000
Edgar Barreto,Central Midfield,27,Atalanta,Serie A,US Palermo,Serie A,2011-2012,3500000,5300000
Edinson Cavani,Centre-Forward,24,US Palermo,Serie A,SSC Napoli,Serie A,2011-2012,24500000,12000000
Eduardo Vargas,Centre-Forward,22,U. de Chile,Argentine Primera Division,SSC Napoli,Serie A,2011-2012,6000000,13500000
Eliaquim Mangala,Centre-Back,20,Standard Liege,Jupiler Pro League,FC Porto,Liga NOS,2011-2012,5000000,6750000
Elias,Central Midfield,26,Atletico Madrid,La Liga,Sporting CP,Liga NOS,2011-2012,7000000,8850000
Eljero Elia,Left Winger,24,Hamburger SV,1.Bundesliga,Juventus,Serie A,2011-2012,12500000,9000000
Emanuele Giaccherini,Left Winger,26,RC Cesena,Serie A,Juventus,Serie A,2011-2012,5000000,7250000
Emiliano Viviano,Goalkeeper,25,Bologna,Serie A,Inter,Serie A,2011-2012,12000000,4100000
Emiliano Viviano,Goalkeeper,26,Inter,Serie A,US Palermo,Serie A,2011-2012,10000000,8500000
Emmanuel Eboue,Right-Back,28,Arsenal,Premier League,Galatasaray,Super Lig,2011-2012,6000000,3500000
Emmanuel Emenike,Centre-Forward,24,Karabukspor,Super Lig,Fenerbahce,Super Lig,2011-2012,6000000,9000000
Emmanuel Emenike,Centre-Forward,24,Fenerbahce,Super Lig,Spartak Moscow,Premier Liga,2011-2012,6000000,10000000
Emmanuel Riviere,Centre-Forward,21,Saint-Etienne,Ligue 1,Toulouse,Ligue 1,2011-2012,5250000,6000000
Erik Lamela,Right Winger,19,River Plate,Primera B Nacional,AS Roma,Serie A,2011-2012,5000000,17000000
Ezequiel Garay,Centre-Back,24,Real Madrid,La Liga,Benfica,Liga NOS,2011-2012,10000000,5500000
Fabio Borini,Left Winger,20,Parma,Serie A,AS Roma,Serie A,2011-2012,4800000,7600000
Fabio Coentrao,Left-Back,23,Benfica,Liga NOS,Real Madrid,La Liga,2011-2012,24000000,30000000
Fabio Quagliarella,Centre-Forward,28,SSC Napoli,Serie A,Juventus,Serie A,2011-2012,17500000,10500000
Fabio Rochemback,Central Midfield,30,Gremio,Campeonato Brasileiro Serie A,DL Yifang,Chinese Super League,2011-2012,2000000,3790000
Falcao,Centre-Forward,25,FC Porto,Liga NOS,Atletico Madrid,La Liga,2011-2012,25000000,40000000
Federico Marchetti,Goalkeeper,28,Cagliari Calcio,Serie A,Lazio,Serie A,2011-2012,5500000,5200000
Felipe Caicedo,Centre-Forward,22,Levante UD,La Liga,Loko Moscow,Premier Liga,2011-2012,5000000,7500000
Fernando,Defensive Midfield,30,G. Bordeaux,Ligue 1,Shabab,Saudi Professional League,2011-2012,3000000,6000000
Fernando Muslera,Goalkeeper,25,Lazio,Serie A,Galatasaray,Super Lig,2011-2012,12000000,6750000
Franco Vazquez,Attacking Midfield,22,Belgrano,Argentine Primera Division,US Palermo,Serie A,2011-2012,2400000,4500000
Gabriel Silva,Left-Back,20,Palmeiras,Campeonato Brasileiro Serie A,Granada CF,La Liga,2011-2012,2500000,4000000
Gabriel Torje,Right Winger,21,Dinamo Bukarest,Liga 1,Udinese Calcio,Serie A,2011-2012,4500000,5000000
Gael Clichy,Left-Back,25,Arsenal,Premier League,Man City,Premier League,2011-2012,15000000,7750000
Gary Cahill,Centre-Back,26,Bolton,Premier League,Chelsea,Premier League,2011-2012,13000000,8400000
Georginio Wijnaldum,Central Midfield,20,Feyenoord,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,6500000,5000000
Gervinho,Left Winger,24,LOSC Lille,Ligue 1,Arsenal,Premier League,2011-2012,16000000,12000000
Giovanni Sio,Centre-Forward,22,FC Sion,Swiss Super League,VfL Wolfsburg,1.Bundesliga,2011-2012,4500000,5800000
Gokhan Inler,Defensive Midfield,27,Udinese Calcio,Serie A,SSC Napoli,Serie A,2011-2012,15000000,18000000
Henri Bienvenu,Centre-Forward,23,BSC Young Boys,Swiss Super League,Fenerbahce,Super Lig,2011-2012,2500000,4000000
Ibson,Central Midfield,27,Spartak Moscow,Premier Liga,Santos FC,Campeonato Brasileiro Serie A,2011-2012,3500000,5000000
Ikechukwu Uche,Centre-Forward,27,Real Zaragoza,La Liga,Villarreal CF,La Liga,2011-2012,5000000,5000000
Ilkay Gundogan,Central Midfield,20,1.FC Nuremberg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2011-2012,6500000,5500000
Isco,Attacking Midfield,19,Valencia B,La Liga 2,Malaga CF,La Liga,2011-2012,NA,6000000
Ivan Perisic,Left Winger,22,Club Brugge,Jupiler Pro League,Bor. Dortmund,1.Bundesliga,2011-2012,6000000,5500000
Ivo Ilicevic,Left Winger,24,1.FC K'lautern,1.Bundesliga,Hamburger SV,1.Bundesliga,2011-2012,5000000,4000000
Jadson,Attacking Midfield,28,Shakhtar D.,Premier Liga,Sao Paulo,Campeonato Brasileiro Serie A,2011-2012,7500000,4000000
Jaja,Centre-Forward,25,Trabzonspor,Super Lig,Al-Ahli (UAE),UAE Pro-League,2011-2012,6000000,4500000
Jamie O'Hara,Central Midfield,24,Spurs,Premier League,Wolves,Premier League,2011-2012,4500000,3750000
Javier Pastore,Attacking Midfield,22,US Palermo,Serie A,Paris SG,Ligue 1,2011-2012,21000000,42000000
Jean Beausejour,Left-Back,27,Birmingham,English Championship,Wigan,Premier League,2011-2012,2000000,4700000
Jeffren,Right Winger,23,FC Barcelona,La Liga,Sporting CP,Liga NOS,2011-2012,5000000,3750000
Jeremy Menez,Second Striker,24,AS Roma,Serie A,Paris SG,Ligue 1,2011-2012,15000000,8000000
Jeremy Toulalan,Defensive Midfield,27,Olympique Lyon,Ligue 1,Malaga CF,La Liga,2011-2012,18000000,11000000
Jerome Boateng,Centre-Back,22,Man City,Premier League,Bayern Munich ,1.Bundesliga,2011-2012,15000000,13500000
Joaquin,Right Winger,29,Valencia CF,La Liga,Malaga CF,La Liga,2011-2012,10000000,4200000
John O'Shea,Centre-Back,30,Man Utd,Premier League,Sunderland,Premier League,2011-2012,6500000,4500000
Jonathan,Right-Back,25,Santos FC,Campeonato Brasileiro Serie A,Inter,Serie A,2011-2012,4500000,5000000
Jonathan de Guzman,Central Midfield,23,RCD Mallorca,La Liga,Villarreal CF,La Liga,2011-2012,5000000,8000000
Jonathan Legear,Right Winger,24,RSC Anderlecht,Jupiler Pro League,Akhmat Grozny,Premier Liga,2011-2012,3500000,4500000
Jonathan Pitroipa,Right Winger,25,Hamburger SV,1.Bundesliga,Stade Rennais,Ligue 1,2011-2012,4500000,3500000
Jordan Henderson,Central Midfield,21,Sunderland,Premier League,Liverpool,Premier League,2011-2012,8500000,18000000
Jose Ángel,Left-Back,21,Sporting Gijon,La Liga,AS Roma,Serie A,2011-2012,3000000,4500000
Jose Antonio Reyes,Right Winger,28,Atletico Madrid,La Liga,Sevilla FC,La Liga,2011-2012,15000000,3500000
Jose Callejon,Right Winger,24,Espanyol,La Liga,Real Madrid,La Liga,2011-2012,6500000,5000000
Jose Enrique,Left-Back,25,Newcastle,Premier League,Liverpool,Premier League,2011-2012,7500000,8000000
Juan Jesus,Centre-Back,20,Internacional,Campeonato Brasileiro Serie A,Inter,Serie A,2011-2012,3000000,3800000
Juan Mata,Attacking Midfield,23,Valencia CF,La Liga,Chelsea,Premier League,2011-2012,26000000,26700000
Julien Feret,Central Midfield,29,AS Nancy,Ligue 1,Stade Rennais,Ligue 1,2011-2012,5000000,4000000
Ju-yeong Park,Centre-Forward,26,Monaco,Ligue 2,Arsenal,Premier League,2011-2012,7000000,6500000
Kevin Constant,Defensive Midfield,24,Chievo Verona,Serie A,Genoa,Serie A,2011-2012,5500000,7000000
Kevin De Bruyne,Attacking Midfield,20,KRC Genk,Jupiler Pro League,Chelsea,Premier League,2011-2012,9000000,8000000
Kevin Gameiro,Centre-Forward,24,FC Lorient,Ligue 1,Paris SG,Ligue 1,2011-2012,13500000,11000000
Kevin Strootman,Central Midfield,21,FC Utrecht,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,4000000,4500000
Kevin-Prince Boateng,Central Midfield,24,Genoa,Serie A,AC Milan,Serie A,2011-2012,15000000,7500000
Kleber,Centre-Forward,21,Atletico-MG,Campeonato Brasileiro Serie A,FC Porto,Liga NOS,2011-2012,1300000,3560000
Kolbeinn Sigthorsson,Centre-Forward,21,AZ Alkmaar,Eredivisie,AFC Ajax,Eredivisie,2011-2012,3500000,4000000
Leroy Fer,Central Midfield,21,Feyenoord,Eredivisie,FC Twente,Eredivisie,2011-2012,5500000,5500000
Lucas Piazon,Left Winger,18,FC Sao Paulo B,Campeonato Brasileiro Serie A,Chelsea,Premier League,2011-2012,7500000,7500000
Maarten Stekelenburg,Goalkeeper,28,AFC Ajax,Eredivisie,AS Roma,Serie A,2011-2012,11000000,7330000
Mamadou Niang,Centre-Forward,31,Fenerbahce,Super Lig,Al Sadd,Qatar Stars League,2011-2012,11500000,7500000
Manu del Moral,Centre-Forward,27,Getafe CF,La Liga,Sevilla FC,La Liga,2011-2012,5500000,4500000
Manuel Neuer,Goalkeeper,25,FC Schalke 04,1.Bundesliga,Bayern Munich ,1.Bundesliga,2011-2012,28000000,30000000
Marcelo Moreno,Centre-Forward,24,Shakhtar D.,Premier Liga,Gremio,Campeonato Brasileiro Serie A,2011-2012,2800000,6000000
Marco Borriello,Centre-Forward,29,AC Milan,Serie A,AS Roma,Serie A,2011-2012,13000000,10000000
Marco Motta,Right-Back,25,Udinese Calcio,Serie A,Juventus,Serie A,2011-2012,3500000,3750000
Marco Rossi,Centre-Back,23,Parma,Serie A,RC Cesena,Serie A,2011-2012,1300000,4000000
Marlos,Right Winger,23,Rentistas,Argentine Primera Division,Metalist,Premier Liga,2011-2012,3000000,4000000
Marvin Sordell,Centre-Forward,20,Watford,English Championship,Bolton,Premier League,2011-2012,1000000,3600000
Matias Silvestre,Centre-Back,26,Catania,Serie A,US Palermo,Serie A,2011-2012,3500000,8000000
Matt Mills,Centre-Back,24,Reading,English Championship,Leicester,English Championship,2011-2012,750000,5300000
Maxi Moralez,Attacking Midfield,24,Velez Sarsfield,Argentine Primera Division,Atalanta,Serie A,2011-2012,5000000,5300000
Maxwell,Left-Back,30,FC Barcelona,La Liga,Paris SG,Ligue 1,2011-2012,7000000,3500000
Mehdi Carcela-Gonzalez,Right Winger,22,Standard Liege,Jupiler Pro League,Anzhi,Premier Liga,2011-2012,4000000,5700000
Mehmet Ekici,Attacking Midfield,21,Bayern Munich ,1.Bundesliga,Werder Bremen,1.Bundesliga,2011-2012,6500000,5000000
Mevlut Erdinc,Centre-Forward,24,Paris SG,Ligue 1,Stade Rennais,Ligue 1,2011-2012,7250000,6600000
Miguel Britos,Centre-Back,26,Bologna,Serie A,SSC Napoli,Serie A,2011-2012,3500000,9000000
Mikel Arteta,Central Midfield,29,Everton,Premier League,Arsenal,Premier League,2011-2012,15000000,12000000
Miralem Pjanic,Central Midfield,21,Olympique Lyon,Ligue 1,AS Roma,Serie A,2011-2012,9000000,11000000
Mirel Radoi,Defensive Midfield,30,Hilal,Saudi Professional League,Al-Ain FC,UAE Pro-League,2011-2012,3000000,4200000
Mirko Vucinic,Second Striker,27,AS Roma,Serie A,Juventus,Serie A,2011-2012,22000000,15000000
Mohamed Sissoko,Defensive Midfield,26,Juventus,Serie A,Paris SG,Ligue 1,2011-2012,7500000,8000000
Moussa Sow,Centre-Forward,26,LOSC Lille,Ligue 1,Fenerbahce,Super Lig,2011-2012,12000000,10000000
Mustafa Pektemek,Centre-Forward,22,Genclerbirligi,Super Lig,Besiktas,Super Lig,2011-2012,4500000,4000000
Nabil Dirar,Right Midfield,25,Club Brugge,Jupiler Pro League,Monaco,Ligue 2,2011-2012,3500000,6000000
Nacer Barazite,Attacking Midfield,21,Austria Vienna,Austrian Bundesliga,Monaco,Ligue 2,2011-2012,3000000,4500000
Nacho Monreal,Left-Back,25,CA Osasuna,La Liga,Malaga CF,La Liga,2011-2012,7000000,6000000
Nedum Onuoha,Centre-Back,25,Man City,Premier League,QPR,Premier League,2011-2012,7500000,4700000
Nelson Valdez,Centre-Forward,27,Hercules CF,La Liga 2,Rubin Kazan,Premier Liga,2011-2012,5000000,4000000
Nemanja Matic,Defensive Midfield,22,Chelsea,Premier League,Benfica,Liga NOS,2011-2012,3000000,5000000
Nicolas N'Koulou,Centre-Back,21,Monaco,Ligue 2,Marseille,Ligue 1,2011-2012,5000000,3500000
Nikica Jelavic,Centre-Forward,26,Rangers,Scottish Football League,Everton,Premier League,2011-2012,5000000,6600000
Nikola Kalinic,Centre-Forward,23,Blackburn,Premier League,Dnipro,Premier Liga,2011-2012,4500000,6000000
Nolan Roux,Centre-Forward,23,Stade Brest 29,Ligue 1,LOSC Lille,Ligue 1,2011-2012,4750000,8000000
Nuri Sahin,Defensive Midfield,22,Bor. Dortmund,1.Bundesliga,Real Madrid,La Liga,2011-2012,20000000,10000000
Oriol Romeu,Defensive Midfield,19,FC Barcelona B,La Liga 2,Chelsea,Premier League,2011-2012,2500000,4600000
Pablo Piatti,Left Winger,22,UD Almeria,La Liga 2,Valencia CF,La Liga,2011-2012,9000000,7500000
Pape Diakhate,Centre-Back,27,Dynamo Kyiv,Premier Liga,Granada CF,La Liga,2011-2012,3750000,4500000
Papiss Demba Cisse,Centre-Forward,26,SC Freiburg,1.Bundesliga,Newcastle,Premier League,2011-2012,13500000,12000000
Paulo Henrique,Centre-Forward,22,Desp. Brasil,Campeonato Brasileiro Serie A,Trabzonspor,Super Lig,2011-2012,3000000,3750000
Per Mertesacker,Centre-Back,26,Werder Bremen,1.Bundesliga,Arsenal,Premier League,2011-2012,10000000,11300000
Peter Crouch,Centre-Forward,30,Spurs,Premier League,Stoke City,Premier League,2011-2012,10000000,11300000
